index,location,bhk,total_sqft,bath,price,encoded_location
0,Electronic City Phase II,2,1056.0,2.0,39.07,75
1,Chikka Tirupathi,4,2600.0,5.0,120.0,57
2,Uttarahalli,3,1440.0,2.0,62.0,216
3,Lingadheeranahalli,3,1521.0,3.0,95.0,154
4,Kothanur,2,1200.0,2.0,51.0,146
5,Whitefield,2,1170.0,2.0,38.0,224
6,Old Airport Road,4,2732.0,4.0,204.0,176
8,Marathahalli,3,1310.0,3.0,63.25,161
10,Whitefield,3,1800.0,2.0,70.0,224
12,7th Phase JP Nagar,2,1000.0,2.0,38.0,6
13,Gottigere,2,1100.0,2.0,40.0,82
14,Sarjapur,3,2250.0,3.0,148.0,193
15,Mysore Road,2,1175.0,2.0,73.5,166
16,Bisuvanahalli,3,1180.0,3.0,48.0,46
17,Raja Rajeshwari Nagar,3,1540.0,3.0,60.0,184
19,others,2,1100.0,2.0,48.0,230
21,Binny Pete,3,1755.0,3.0,122.0,45
23,Bellandur,3,1767.0,3.0,103.0,40
24,Thanisandra,1,510.0,1.0,25.25,209
25,others,3,1250.0,3.0,56.0,230
26,Electronic City,2,660.0,1.0,23.1,74
27,Whitefield,3,1610.0,3.0,81.0,224
28,Ramagondanahalli,2,1151.0,2.0,48.77,187
29,Electronic City,3,1025.0,2.0,47.0,74
30,Yelahanka,4,2475.0,4.0,186.0,226
31,Bisuvanahalli,3,1075.0,2.0,35.0,46
32,Hebbal,3,1760.0,2.0,123.0,92
33,Raja Rajeshwari Nagar,3,1693.0,3.0,57.39,184
34,Kasturi Nagar,3,1925.0,3.0,125.0,131
35,Kanakpura Road,2,700.0,2.0,36.0,127
36,Electronics City Phase 1,2,1070.0,2.0,45.5,76
37,Kundalahalli,3,1724.0,3.0,125.0,150
38,Chikkalasandra,3,1290.0,2.0,56.12,59
39,Uttarahalli,2,1143.0,2.0,45.0,216
40,Murugeshpalya,2,1296.0,2.0,81.0,165
41,Sarjapur  Road,3,1254.0,3.0,38.0,194
42,others,1,600.0,1.0,38.0,230
43,Yelahanka,1,660.0,1.0,48.0,226
44,Kanakpura Road,2,1330.74,2.0,91.79,127
46,Doddathoguru,2,970.0,2.0,33.0,70
47,Whitefield,2,1459.0,2.0,94.82,224
49,others,2,869.0,2.0,36.0,230
50,others,2,1270.0,2.0,50.0,230
51,Bhoganhalli,3,1670.0,3.0,99.0,43
52,Whitefield,3,2010.0,3.0,91.0,224
53,Lakshminarayana Pura,2,1185.0,2.0,75.0,153
54,Yelahanka,3,1600.0,2.0,75.0,226
55,Begur Road,2,1200.0,2.0,44.0,39
56,Devanahalli,4,3210.0,2.0,192.0,65
59,others,2,840.0,2.0,45.0,230
60,others,3,4395.0,3.0,240.0,230
61,others,2,845.0,2.0,55.0,230
63,Varthur,2,1160.0,2.0,44.0,217
65,Doddathoguru,2,1100.0,2.0,62.0,70
66,Gunjur,2,1140.0,2.0,43.0,85
67,Marathahalli,2,1220.0,2.0,57.0,161
69,Kanakpura Road,2,1005.0,2.0,36.68,127
71,Begur Road,2,1358.0,2.0,80.58,39
72,Hegde Nagar,3,1569.0,3.0,101.0,94
73,Haralur Road,2,1240.0,2.0,70.0,90
74,Hennur Road,3,2089.0,3.0,140.0,96
75,Kothannur,2,1206.0,2.0,48.23,145
76,Kalena Agrahara,2,1150.0,2.0,40.0,121
77,others,3,2511.0,3.0,205.0,230
79,ISRO Layout,6,4400.0,6.0,250.0,106
80,others,3,1660.0,2.0,105.0,230
81,Hennur Road,4,3203.5,2.0,224.5,96
82,Yelahanka,2,1326.0,2.0,78.0,226
83,Garudachar Palya,3,1325.0,2.0,60.8,79
85,Hegde Nagar,6,3000.0,7.0,210.0,94
86,Kanakpura Road,3,1665.0,3.0,88.0,127
87,Dasanapura,2,708.0,2.0,37.0,63
88,Kasavanhalli,2,1060.0,2.0,58.06,130
90,Sanjay nagar,2,1000.0,2.0,70.0,191
92,others,3,1450.0,2.0,70.0,230
94,Thanisandra,2,1296.0,2.0,80.0,209
95,Domlur,3,1540.0,3.0,90.0,71
97,Sarjapura - Attibele Road,3,1330.0,2.0,48.0,195
98,others,2,1200.0,2.0,65.0,230
99,others,3,1200.0,3.0,90.0,230
100,Yeshwanthpur,3,2502.0,3.0,138.0,229
102,Kothanur,3,2400.0,2.0,150.0,146
103,others,2,1007.0,2.0,43.0,230
104,others,2,1200.0,2.0,50.0,230
105,others,2,966.0,2.0,49.9,230
106,Nagarbhavi,3,1630.0,2.0,98.0,169
108,others,2,782.0,2.0,55.68,230
109,Devanahalli,2,1260.0,2.0,66.78,65
110,others,3,1800.0,3.0,120.0,230
111,others,3,1413.0,2.0,75.0,230
112,Whitefield,2,1116.0,2.0,51.91,224
113,Electronic City,3,1530.0,2.0,45.9,74
114,Ramamurthy Nagar,4,3700.0,4.0,225.0,188
115,Sarjapur  Road,3,2497.0,3.0,140.0,194
116,Kengeri,3,1540.0,2.0,64.0,135
117,Thanisandra,3,1436.0,3.0,74.75,209
118,Malleshwaram,2,1100.0,2.0,75.0,160
123,Shampura,4,2650.0,4.0,150.0,199
124,Devanahalli,3,1282.0,2.0,68.52,65
125,Kadugodi,2,1050.0,2.0,34.0,117
126,LB Shastri Nagar,3,1600.0,3.0,65.0,151
127,others,2,945.0,2.0,54.0,230
128,Hormavu,2,1500.0,2.0,78.0,100
130,others,3,1870.0,3.0,110.0,230
131,Sarjapur,3,1600.0,3.0,75.0,193
134,Kudlu Gate,3,1535.0,3.0,83.0,148
135,Kanakpura Road,2,950.0,2.0,57.0,127
136,Devanahalli,2,1360.0,2.0,65.0,65
137,8th Phase JP Nagar,2,1073.5,2.0,54.005,7
138,Bommasandra Industrial Area,3,1280.0,3.0,50.4,49
139,others,3,1260.0,2.0,85.05,230
141,Yelahanka,5,3050.0,5.0,213.0,226
142,Kasavanhalli,3,1563.05,3.0,105.0,130
143,ISRO Layout,2,1000.0,2.0,60.0,106
144,Anandapura,2,1167.0,2.0,43.76,15
146,Kothanur,3,1828.0,3.0,110.0,146
147,Kengeri Satellite Town,2,890.0,2.0,35.0,136
150,Mysore Road,3,1710.0,4.0,91.31,166
151,Kannamangala,2,957.0,2.0,58.0,128
152,Devarachikkanahalli,3,1250.0,2.0,44.0,66
154,Hulimavu,2,1125.0,2.0,50.0,105
155,Electronic City Phase II,2,1020.0,2.0,30.6,75
156,Kalena Agrahara,2,1200.0,2.0,50.0,121
157,Thanisandra,3,1735.0,3.0,135.0,209
158,Thanisandra,3,2050.0,3.0,145.0,209
160,others,3,1350.0,2.0,48.0,230
161,Hosa Road,2,1063.0,2.0,32.0,101
162,others,3,1904.0,3.0,150.0,230
165,Sarjapur,2,1242.5,2.0,43.49,193
166,others,3,1425.0,2.0,75.0,230
167,Electronic City,3,1500.0,2.0,64.5,74
168,Electronic City,2,1060.0,2.0,60.0,74
169,others,3,1470.0,2.0,70.0,230
172,Electronic City,2,1152.0,2.0,64.5,74
173,Electronic City,3,1350.0,2.0,56.0,74
174,CV Raman Nagar,3,1550.0,3.0,65.0,53
175,others,3,1500.0,3.0,100.0,230
177,Nagavara,1,400.0,1.0,14.0,171
179,Electronic City,2,770.0,1.0,36.0,74
180,Hulimavu,2,1242.0,2.0,51.0,105
182,Thanisandra,3,2144.0,3.0,145.0,209
183,Vijayanagar,3,1704.0,3.0,110.0,220
184,Electronic City,2,1070.0,2.0,52.0,74
186,others,2,1340.0,2.0,55.7,230
187,Electronic City,2,1025.0,2.0,46.0,74
188,KR Puram,2,1277.5,2.0,56.8,115
189,Marathahalli,2,1200.0,2.0,52.0,161
190,Kanakpura Road,4,2250.0,4.0,110.0,127
191,others,3,1550.0,2.0,80.0,230
194,Marathahalli,2,1200.0,2.0,60.0,161
195,Yelahanka,2,1327.0,2.0,98.0,226
196,Kothanur,2,1186.0,2.0,58.0,146
197,others,3,1783.0,3.0,115.0,230
198,HSR Layout,3,1400.0,3.0,56.0,89
199,Nagasandra,2,980.0,2.0,48.0,170
200,EPIP Zone,2,1285.0,2.0,82.0,73
201,others,3,912.0,2.0,70.0,230
202,Whitefield,2,1225.0,2.0,47.6,224
203,Whitefield,2,1075.0,2.0,53.0,224
204,Kadugodi,3,1260.0,2.0,54.0,117
205,Yelahanka,3,1282.0,2.0,48.7,226
206,Kogilu,3,1909.0,3.0,88.0,142
207,Panathur,2,1359.0,2.0,87.0,180
208,others,2,1207.0,2.0,43.5,230
211,Kammasandra,3,1595.0,3.0,65.0,125
212,others,3,1798.0,3.0,89.0,230
213,Electronics City Phase 1,3,1475.0,3.0,78.29,76
214,others,3,1580.0,3.0,100.0,230
215,Dasarahalli,2,1295.0,2.0,65.0,64
216,Magadi Road,6,3600.0,6.0,141.0,155
217,Electronic City,1,589.0,1.0,27.0,74
218,others,3,1415.0,3.0,78.0,230
219,Sarjapur  Road,3,1787.0,3.0,98.29,194
220,Sarjapur  Road,3,1787.0,3.0,125.0,194
221,Koramangala,3,1475.0,2.0,90.0,144
222,others,4,2000.0,4.0,75.5,230
223,Sarjapur  Road,2,984.0,2.0,44.28,194
224,Devanahalli,3,1630.0,2.0,74.82,65
226,7th Phase JP Nagar,2,1080.0,2.0,72.0,6
227,others,2,1500.0,2.0,115.0,230
228,Hebbal,3,1900.0,3.0,119.0,92
230,Budigere,2,1153.0,2.0,56.4,52
231,others,2,1148.0,2.0,60.0,230
232,others,2,1110.0,2.0,55.0,230
233,Electronic City,2,1100.0,2.0,42.0,74
235,others,3,1500.0,2.0,65.0,230
236,others,2,1080.0,2.0,39.0,230
237,Vijayanagar,3,1933.0,3.0,129.0,220
238,Ramamurthy Nagar,5,3500.0,5.0,150.0,188
239,others,2,1060.0,2.0,60.0,230
243,others,3,1644.0,3.0,84.0,230
244,others,2,1285.0,2.0,72.5,230
245,Electronic City,3,1200.0,3.0,90.0,74
246,Electronic City,2,910.0,2.0,40.0,74
247,Kothanur,3,1577.0,3.0,70.0,146
